GEOID,NAME,population,state,county,tract
06001400100,Census Tract 4001; Alameda County; California,3132,06,001,400100
06001423901,Census Tract 4239.01; Alameda County; California,2227,06,001,423901
06001423902,Census Tract 4239.02; Alameda County; California,1537,06,001,423902
06001424001,Census Tract 4240.01; Alameda County; California,4000,06,001,424001
06001424002,Census Tract 4240.02; Alameda County; California,2524,06,001,424002
06001425101,Census Tract 4251.01; Alameda County; California,1601,06,001,425101
06001425102,Census Tract 4251.02; Alameda County; California,4057,06,001,425102
06001425103,Census Tract 4251.03; Alameda County; California,2999,06,001,425103
06001425104,Census Tract 4251.04; Alameda County; California,4424,06,001,425104
06001426100,Census Tract 4261; Alameda County; California,6102,06,001,426100
06001426200,Census Tract 4262; Alameda County; California,4843,06,001,426200
06001427100,Census Tract 4271; Alameda County; California,4036,06,001,427100
06001427200,Census Tract 4272; Alameda County; California,4138,06,001,427200
06001427300,Census Tract 4273; Alameda County; California,5556,06,001,427300
06001427600,Census Tract 4276; Alameda County; California,4774,06,001,427600
06001427700,Census Tract 4277; Alameda County; California,4963,06,001,427700
06001427800,Census Tract 4278; Alameda County; California,4652,06,001,427800
06001427900,Census Tract 4279; Alameda County; California,4708,06,001,427900
06001428000,Census Tract 4280; Alameda County; California,2706,06,001,428000
06001428100,Census Tract 4281; Alameda County; California,4685,06,001,428100
06001428200,Census Tract 4282; Alameda County; California,6385,06,001,428200
06001428301,Census Tract 4283.01; Alameda County; California,6618,06,001,428301
06001428302,Census Tract 4283.02; Alameda County; California,6812,06,001,428302
06001428400,Census Tract 4284; Alameda County; California,4864,06,001,428400
06001428500,Census Tract 4285; Alameda County; California,3443,06,001,428500
06001428600,Census Tract 4286; Alameda County; California,3298,06,001,428600
06001428700,Census Tract 4287; Alameda County; California,5600,06,001,428700
06001430101,Census Tract 4301.01; Alameda County; California,6562,06,001,430101
06001430102,Census Tract 4301.02; Alameda County; California,2425,06,001,430102
06001430200,Census Tract 4302; Alameda County; California,7195,06,001,430200
06001430300,Census Tract 4303; Alameda County; California,4028,06,001,430300
06001430400,Census Tract 4304; Alameda County; California,2160,06,001,430400
06001430500,Census Tract 4305; Alameda County; California,6125,06,001,430500
06001430600,Census Tract 4306; Alameda County; California,6105,06,001,430600
06001430700,Census Tract 4307; Alameda County; California,4132,06,001,430700
06001430800,Census Tract 4308; Alameda County; California,5887,06,001,430800
06001430900,Census Tract 4309; Alameda County; California,5539,06,001,430900
06001431000,Census Tract 4310; Alameda County; California,3191,06,001,431000
06001431100,Census Tract 4311; Alameda County; California,3368,06,001,431100
06001431200,Census Tract 4312; Alameda County; California,6033,06,001,431200
06001432100,Census Tract 4321; Alameda County; California,3820,06,001,432100
06001432200,Census Tract 4322; Alameda County; California,3904,06,001,432200
06001432300,Census Tract 4323; Alameda County; California,4700,06,001,432300
06001432400,Census Tract 4324; Alameda County; California,5818,06,001,432400
06001432501,Census Tract 4325.01; Alameda County; California,4760,06,001,432501
06001432502,Census Tract 4325.02; Alameda County; California,5104,06,001,432502
06001432601,Census Tract 4326.01; Alameda County; California,3978,06,001,432601
06001432602,Census Tract 4326.02; Alameda County; California,3091,06,001,432602
06001432700,Census Tract 4327; Alameda County; California,2509,06,001,432700
06001432800,Census Tract 4328; Alameda County; California,3930,06,001,432800
06001433000,Census Tract 4330; Alameda County; California,3739,06,001,433000
06001433102,Census Tract 4331.02; Alameda County; California,4069,06,001,433102
06001433103,Census Tract 4331.03; Alameda County; California,3667,06,001,433103
06001433104,Census Tract 4331.04; Alameda County; California,4422,06,001,433104
06001433200,Census Tract 4332; Alameda County; California,7991,06,001,433200
06001433300,Census Tract 4333; Alameda County; California,7287,06,001,433300
06001433400,Census Tract 4334; Alameda County; California,6008,06,001,433400
06001433500,Census Tract 4335; Alameda County; California,3951,06,001,433500
06001433600,Census Tract 4336; Alameda County; California,6172,06,001,433600
06001433700,Census Tract 4337; Alameda County; California,3257,06,001,433700
06001433801,Census Tract 4338.01; Alameda County; California,3141,06,001,433801
06001433802,Census Tract 4338.02; Alameda County; California,4079,06,001,433802
06001433900,Census Tract 4339; Alameda County; California,6482,06,001,433900
06001434000,Census Tract 4340; Alameda County; California,5561,06,001,434000
06001435102,Census Tract 4351.02; Alameda County; California,5649,06,001,435102
06001435103,Census Tract 4351.03; Alameda County; California,7020,06,001,435103
06001435104,Census Tract 4351.04; Alameda County; California,7752,06,001,435104
06001435200,Census Tract 4352; Alameda County; California,4389,06,001,435200
06001435300,Census Tract 4353; Alameda County; California,5101,06,001,435300
06001435400,Census Tract 4354; Alameda County; California,5364,06,001,435400
06001435500,Census Tract 4355; Alameda County; California,4108,06,001,435500
06001435601,Census Tract 4356.01; Alameda County; California,4874,06,001,435601
06001435602,Census Tract 4356.02; Alameda County; California,5261,06,001,435602
06001435700,Census Tract 4357; Alameda County; California,4974,06,001,435700
06001435800,Census Tract 4358; Alameda County; California,5725,06,001,435800
06001435900,Census Tract 4359; Alameda County; California,4985,06,001,435900
06001436000,Census Tract 4360; Alameda County; California,5298,06,001,436000
06001436100,Census Tract 4361; Alameda County; California,5454,06,001,436100
06001436200,Census Tract 4362; Alameda County; California,3989,06,001,436200
06001436301,Census Tract 4363.01; Alameda County; California,5422,06,001,436301
06001436302,Census Tract 4363.02; Alameda County; California,3712,06,001,436302
06001436402,Census Tract 4364.02; Alameda County; California,2875,06,001,436402
06001436403,Census Tract 4364.03; Alameda County; California,4151,06,001,436403
06001436404,Census Tract 4364.04; Alameda County; California,3440,06,001,436404
06001436500,Census Tract 4365; Alameda County; California,5246,06,001,436500
06001436601,Census Tract 4366.01; Alameda County; California,6476,06,001,436601
06001436602,Census Tract 4366.02; Alameda County; California,5115,06,001,436602
06001436700,Census Tract 4367; Alameda County; California,3360,06,001,436700
06001436800,Census Tract 4368; Alameda County; California,4052,06,001,436800
06001436900,Census Tract 4369; Alameda County; California,6768,06,001,436900
06001437000,Census Tract 4370; Alameda County; California,3378,06,001,437000
06001437101,Census Tract 4371.01; Alameda County; California,7371,06,001,437101
06001437102,Census Tract 4371.02; Alameda County; California,4352,06,001,437102
06001437200,Census Tract 4372; Alameda County; California,8968,06,001,437200
06001437300,Census Tract 4373; Alameda County; California,2844,06,001,437300
06001437400,Census Tract 4374; Alameda County; California,3755,06,001,437400
06001437500,Census Tract 4375; Alameda County; California,4527,06,001,437500
06001437600,Census Tract 4376; Alameda County; California,3381,06,001,437600
06001437701,Census Tract 4377.01; Alameda County; California,3638,06,001,437701
06001437702,Census Tract 4377.02; Alameda County; California,3745,06,001,437702
06001437800,Census Tract 4378; Alameda County; California,4817,06,001,437800
06001437900,Census Tract 4379; Alameda County; California,2486,06,001,437900
06001438000,Census Tract 4380; Alameda County; California,3751,06,001,438000
06001438100,Census Tract 4381; Alameda County; California,7317,06,001,438100
06001438201,Census Tract 4382.01; Alameda County; California,4432,06,001,438201
06001438203,Census Tract 4382.03; Alameda County; California,4076,06,001,438203
06001438204,Census Tract 4382.04; Alameda County; California,5699,06,001,438204
06001438300,Census Tract 4383; Alameda County; California,3949,06,001,438300
06001438400,Census Tract 4384; Alameda County; California,2600,06,001,438400
06001440100,Census Tract 4401; Alameda County; California,2372,06,001,440100
06001440200,Census Tract 4402; Alameda County; California,5623,06,001,440200
06001440301,Census Tract 4403.01; Alameda County; California,6757,06,001,440301
06001440304,Census Tract 4403.04; Alameda County; California,4488,06,001,440304
06001440305,Census Tract 4403.05; Alameda County; California,3971,06,001,440305
06001440306,Census Tract 4403.06; Alameda County; California,3705,06,001,440306
06001440307,Census Tract 4403.07; Alameda County; California,4441,06,001,440307
06001440308,Census Tract 4403.08; Alameda County; California,6017,06,001,440308
06001440331,Census Tract 4403.31; Alameda County; California,3190,06,001,440331
06001440332,Census Tract 4403.32; Alameda County; California,3015,06,001,440332
06001440333,Census Tract 4403.33; Alameda County; California,2599,06,001,440333
06001440334,Census Tract 4403.34; Alameda County; California,4026,06,001,440334
06001440336,Census Tract 4403.36; Alameda County; California,4169,06,001,440336
06001440337,Census Tract 4403.37; Alameda County; California,2679,06,001,440337
06001440338,Census Tract 4403.38; Alameda County; California,3917,06,001,440338
06001441100,Census Tract 4411; Alameda County; California,4390,06,001,441100
06001441200,Census Tract 4412; Alameda County; California,7569,06,001,441200
06001441301,Census Tract 4413.01; Alameda County; California,3166,06,001,441301
06001441302,Census Tract 4413.02; Alameda County; California,5747,06,001,441302
06001441401,Census Tract 4414.01; Alameda County; California,7883,06,001,441401
06001441402,Census Tract 4414.02; Alameda County; California,5183,06,001,441402
06001441501,Census Tract 4415.01; Alameda County; California,5389,06,001,441501
06001441503,Census Tract 4415.03; Alameda County; California,7604,06,001,441503
06001441521,Census Tract 4415.21; Alameda County; California,5937,06,001,441521
06001441522,Census Tract 4415.22; Alameda County; California,5090,06,001,441522
06001441523,Census Tract 4415.23; Alameda County; California,4003,06,001,441523
06001441524,Census Tract 4415.24; Alameda County; California,3941,06,001,441524
06001441525,Census Tract 4415.25; Alameda County; California,3328,06,001,441525
06001441601,Census Tract 4416.01; Alameda County; California,4709,06,001,441601
06001441602,Census Tract 4416.02; Alameda County; California,7252,06,001,441602
06001441701,Census Tract 4417.01; Alameda County; California,3490,06,001,441701
06001441702,Census Tract 4417.02; Alameda County; California,5046,06,001,441702
06001441800,Census Tract 4418; Alameda County; California,6556,06,001,441800
06001441921,Census Tract 4419.21; Alameda County; California,3814,06,001,441921
06001441923,Census Tract 4419.23; Alameda County; California,5915,06,001,441923
06001441924,Census Tract 4419.24; Alameda County; California,7588,06,001,441924
06001441926,Census Tract 4419.26; Alameda County; California,4190,06,001,441926
06001441927,Census Tract 4419.27; Alameda County; California,4369,06,001,441927
06001441928,Census Tract 4419.28; Alameda County; California,4003,06,001,441928
06001441929,Census Tract 4419.29; Alameda County; California,3287,06,001,441929
06001442000,Census Tract 4420; Alameda County; California,2967,06,001,442000
06001442100,Census Tract 4421; Alameda County; California,5064,06,001,442100
06001442200,Census Tract 4422; Alameda County; California,7355,06,001,442200
06001442301,Census Tract 4423.01; Alameda County; California,4940,06,001,442301
06001442302,Census Tract 4423.02; Alameda County; California,6375,06,001,442302
06001442400,Census Tract 4424; Alameda County; California,6227,06,001,442400
06001442501,Census Tract 4425.01; Alameda County; California,3204,06,001,442501
06001442502,Census Tract 4425.02; Alameda County; California,3892,06,001,442502
06001442601,Census Tract 4426.01; Alameda County; California,3773,06,001,442601
06001442602,Census Tract 4426.02; Alameda County; California,4850,06,001,442602
06001442700,Census Tract 4427; Alameda County; California,3068,06,001,442700
06001442800,Census Tract 4428; Alameda County; California,3041,06,001,442800
06001442900,Census Tract 4429; Alameda County; California,7783,06,001,442900
06001443001,Census Tract 4430.01; Alameda County; California,2802,06,001,443001
06001443002,Census Tract 4430.02; Alameda County; California,6487,06,001,443002
06001443102,Census Tract 4431.02; Alameda County; California,4593,06,001,443102
06001443103,Census Tract 4431.03; Alameda County; California,4002,06,001,443103
06001443104,Census Tract 4431.04; Alameda County; California,5360,06,001,443104
06001443105,Census Tract 4431.05; Alameda County; California,4499,06,001,443105
06001443200,Census Tract 4432; Alameda County; California,3403,06,001,443200
06001443301,Census Tract 4433.01; Alameda County; California,4053,06,001,443301
06001443321,Census Tract 4433.21; Alameda County; California,3241,06,001,443321
06001443322,Census Tract 4433.22; Alameda County; California,3256,06,001,443322
06001444100,Census Tract 4441; Alameda County; California,6846,06,001,444100
06001444200,Census Tract 4442; Alameda County; California,6185,06,001,444200
06001444301,Census Tract 4443.01; Alameda County; California,3659,06,001,444301
06001444303,Census Tract 4443.03; Alameda County; California,0,06,001,444303
06001444304,Census Tract 4443.04; Alameda County; California,7508,06,001,444304
06001444400,Census Tract 4444; Alameda County; California,4767,06,001,444400
06001444500,Census Tract 4445; Alameda County; California,6644,06,001,444500
06001444601,Census Tract 4446.01; Alameda County; California,6187,06,001,444601
06001444602,Census Tract 4446.02; Alameda County; California,5107,06,001,444602
06001450101,Census Tract 4501.01; Alameda County; California,6588,06,001,450101
06001450102,Census Tract 4501.02; Alameda County; California,8425,06,001,450102
06001450200,Census Tract 4502; Alameda County; California,5916,06,001,450200
06001450300,Census Tract 4503; Alameda County; California,4988,06,001,450300
06001450400,Census Tract 4504; Alameda County; California,7551,06,001,450400
06001450501,Census Tract 4505.01; Alameda County; California,3174,06,001,450501
06001450502,Census Tract 4505.02; Alameda County; California,5864,06,001,450502
06001450601,Census Tract 4506.01; Alameda County; California,3555,06,001,450601
06001450603,Census Tract 4506.03; Alameda County; California,4651,06,001,450603
06001450604,Census Tract 4506.04; Alameda County; California,4843,06,001,450604
06001450605,Census Tract 4506.05; Alameda County; California,3895,06,001,450605
06001450606,Census Tract 4506.06; Alameda County; California,5787,06,001,450606
06001450607,Census Tract 4506.07; Alameda County; California,5385,06,001,450607
06001450608,Census Tract 4506.08; Alameda County; California,3985,06,001,450608
06001450609,Census Tract 4506.09; Alameda County; California,4827,06,001,450609
06001450701,Census Tract 4507.01; Alameda County; California,8654,06,001,450701
06001450741,Census Tract 4507.41; Alameda County; California,5212,06,001,450741
06001450742,Census Tract 4507.42; Alameda County; California,5241,06,001,450742
06001450743,Census Tract 4507.43; Alameda County; California,7616,06,001,450743
06001450744,Census Tract 4507.44; Alameda County; California,5798,06,001,450744
06001450745,Census Tract 4507.45; Alameda County; California,6257,06,001,450745
06001450746,Census Tract 4507.46; Alameda County; California,3359,06,001,450746
06001450750,Census Tract 4507.50; Alameda County; California,6794,06,001,450750
06001450751,Census Tract 4507.51; Alameda County; California,12378,06,001,450751
06001450752,Census Tract 4507.52; Alameda County; California,9709,06,001,450752
06001451102,Census Tract 4511.02; Alameda County; California,3950,06,001,451102
06001451103,Census Tract 4511.03; Alameda County; California,1354,06,001,451103
06001451104,Census Tract 4511.04; Alameda County; California,6474,06,001,451104
06001451201,Census Tract 4512.01; Alameda County; California,7289,06,001,451201
06001451202,Census Tract 4512.02; Alameda County; California,5422,06,001,451202
06001451300,Census Tract 4513; Alameda County; California,6448,06,001,451300
06001451401,Census Tract 4514.01; Alameda County; California,5414,06,001,451401
06001451403,Census Tract 4514.03; Alameda County; California,2125,06,001,451403
06001451404,Census Tract 4514.04; Alameda County; California,6368,06,001,451404
06001451501,Census Tract 4515.01; Alameda County; California,4485,06,001,451501
06001451503,Census Tract 4515.03; Alameda County; California,6425,06,001,451503
06001451504,Census Tract 4515.04; Alameda County; California,1464,06,001,451504
06001451505,Census Tract 4515.05; Alameda County; California,3090,06,001,451505
06001451506,Census Tract 4515.06; Alameda County; California,3422,06,001,451506
06001451601,Census Tract 4516.01; Alameda County; California,4859,06,001,451601
06001451602,Census Tract 4516.02; Alameda County; California,6839,06,001,451602
06001451701,Census Tract 4517.01; Alameda County; California,3247,06,001,451701
06001451703,Census Tract 4517.03; Alameda County; California,4037,06,001,451703
06001451704,Census Tract 4517.04; Alameda County; California,4564,06,001,451704
06001981900,Census Tract 9819; Alameda County; California,33,06,001,981900
06001982000,Census Tract 9820; Alameda County; California,54,06,001,982000
06001982100,Census Tract 9821; Alameda County; California,1104,06,001,982100
06001983200,Census Tract 9832; Alameda County; California,1220,06,001,983200
06001990000,Census Tract 9900; Alameda County; California,0,06,001,990000
06003010000,Census Tract 100; Alpine County; California,1616,06,003,010000
06005000101,Census Tract 1.01; Amador County; California,4416,06,005,000101
06005000102,Census Tract 1.02; Amador County; California,2208,06,005,000102
06005000201,Census Tract 2.01; Amador County; California,2815,06,005,000201
06005000202,Census Tract 2.02; Amador County; California,1870,06,005,000202
06005000301,Census Tract 3.01; Amador County; California,5172,06,005,000301
06005000303,Census Tract 3.03; Amador County; California,7240,06,005,000303
06005000304,Census Tract 3.04; Amador County; California,4841,06,005,000304
06005000401,Census Tract 4.01; Amador County; California,4791,06,005,000401
06005000402,Census Tract 4.02; Amador County; California,4474,06,005,000402
06005000500,Census Tract 5; Amador County; California,3601,06,005,000500
06007000102,Census Tract 1.02; Butte County; California,4025,06,007,000102
06007000103,Census Tract 1.03; Butte County; California,6275,06,007,000103
06007000104,Census Tract 1.04; Butte County; California,5444,06,007,000104
06007000201,Census Tract 2.01; Butte County; California,4413,06,007,000201
06007000202,Census Tract 2.02; Butte County; California,3563,06,007,000202
06007000300,Census Tract 3; Butte County; California,4991,06,007,000300
06007000401,Census Tract 4.01; Butte County; California,5590,06,007,000401
06007000403,Census Tract 4.03; Butte County; California,3372,06,007,000403
06007000404,Census Tract 4.04; Butte County; California,3682,06,007,000404
06007000501,Census Tract 5.01; Butte County; California,4256,06,007,000501
06007000502,Census Tract 5.02; Butte County; California,5439,06,007,000502
06007000601,Census Tract 6.01; Butte County; California,3412,06,007,000601
06007000603,Census Tract 6.03; Butte County; California,3618,06,007,000603
06007000604,Census Tract 6.04; Butte County; California,4073,06,007,000604
06007000700,Census Tract 7; Butte County; California,4767,06,007,000700
06007000800,Census Tract 8; Butte County; California,5568,06,007,000800
06007000901,Census Tract 9.01; Butte County; California,2946,06,007,000901
06007000903,Census Tract 9.03; Butte County; California,5719,06,007,000903
06007000904,Census Tract 9.04; Butte County; California,5959,06,007,000904
06007001000,Census Tract 10; Butte County; California,5890,06,007,001000
06007001100,Census Tract 11; Butte County; California,4341,06,007,001100
06007001200,Census Tract 12; Butte County; California,3801,06,007,001200
06007001300,Census Tract 13; Butte County; California,4080,06,007,001300
06007001400,Census Tract 14; Butte County; California,6640,06,007,001400
06007001500,Census Tract 15; Butte County; California,5266,06,007,001500
06007001601,Census Tract 16.01; Butte County; California,2188,06,007,001601
06007001602,Census Tract 16.02; Butte County; California,3721,06,007,001602
06007001702,Census Tract 17.02; Butte County; California,3700,06,007,001702
06007001703,Census Tract 17.03; Butte County; California,1547,06,007,001703
06007001704,Census Tract 17.04; Butte County; California,3024,06,007,001704
06007001800,Census Tract 18; Butte County; California,1448,06,007,001800
06007001900,Census Tract 19; Butte County; California,919,06,007,001900
06007002000,Census Tract 20; Butte County; California,1606,06,007,002000
06007002100,Census Tract 21; Butte County; California,1544,06,007,002100
06007002200,Census Tract 22; Butte County; California,2248,06,007,002200
06007002300,Census Tract 23; Butte County; California,2321,06,007,002300
